iter	Passed	Remaining
0	121	121396
1	123	61498
2	124	41514
3	126	31621
4	128	25626
5	130	21639
6	132	18814
7	134	16673
8	136	15018
9	138	13678
10	140	12599
11	141	11685
12	143	10893
13	144	10207
14	146	9637
15	148	9132
16	150	8681
17	151	8273
18	153	7919
19	154	7589
20	156	7294
21	157	7021
22	159	6788
23	161	6574
24	163	6382
25	165	6187
26	166	6008
27	168	5857
28	170	5701
29	171	5557
30	173	5420
31	175	5302
32	177	5197
33	179	5086
34	180	4979
35	182	4889
36	184	4798
37	186	4712
38	187	4626
39	189	4557
40	191	4481
41	193	4408
42	195	4340
43	197	4289
44	199	4227
45	200	4165
46	202	4107
47	206	4086
48	207	4033
49	209	3987
50	211	3940
51	213	3892
52	215	3848
53	217	3814
54	219	3771
55	221	3737
56	223	3704
57	226	3673
58	228	3650
59	233	3665
60	235	3631
61	237	3597
62	239	3565
63	241	3530
64	242	3494
65	244	3460
66	246	3434
67	248	3405
68	249	3372
69	251	3341
70	253	3310
71	255	3287
72	256	3260
73	258	3231
74	259	3204
75	262	3187
76	264	3166
77	265	3141
78	267	3117
79	282	3252
80	286	3255
81	288	3230
82	289	3197
83	290	3173
84	293	3156
85	294	3133
86	296	3109
87	297	3086
88	299	3065
89	301	3044
90	302	3022
91	304	3000
92	306	2984
93	308	2969
94	310	2953
95	311	2933
96	313	2913
97	314	2897
98	316	2880
99	318	2865
100	320	2849
101	321	2834
102	323	2817
103	325	2800
104	326	2782
105	328	2767
106	329	2753
107	331	2737
108	332	2720
109	334	2708
110	336	2696
111	338	2682
112	339	2667
113	341	2652
114	342	2638
115	344	2626
116	346	2611
117	347	2597
118	348	2583
119	350	2569
120	352	2557
121	353	2542
122	354	2530
123	356	2518
124	359	2514
125	361	2510
126	364	2504
127	366	2495
128	368	2486
129	370	2476
130	372	2467
131	374	2460
132	376	2451
133	377	2441
134	379	2434
135	381	2425
136	383	2416
137	385	2406
138	387	2397
139	388	2388
140	391	2382
141	392	2369
142	393	2359
143	395	2352
144	397	2344
145	399	2335
146	401	2327
147	402	2318
148	405	2313
149	407	2306
150	409	2299
151	410	2290
152	412	2282
153	413	2273
154	415	2265
155	417	2259
156	419	2252
157	421	2245
158	422	2236
159	424	2228
160	425	2217
161	427	2213
162	429	2205
163	431	2198
164	432	2190
165	434	2184
166	436	2176
167	437	2168
168	439	2160
169	440	2151
170	442	2146
171	444	2140
172	446	2132
173	447	2124
174	449	2118
175	451	2112
176	452	2105
177	454	2098
178	455	2091
179	457	2085
180	459	2078
181	460	2070
182	462	2064
183	464	2059
184	466	2053
185	467	2045
186	468	2038
187	470	2032
188	472	2027
189	474	2021
190	475	2014
191	476	2007
192	478	2001
193	480	1996
194	482	1989
195	483	1983
196	484	1976
197	486	1971
198	488	1966
199	490	1960
200	491	1955
201	494	1951
202	495	1947
203	497	1942
204	499	1938
205	519	2003
206	521	1998
207	523	1992
208	525	1988
209	527	1983
210	529	1978
211	531	1974
212	533	1970
213	535	1966
214	537	1961
215	538	1956
216	541	1955
217	544	1951
218	546	1947
219	547	1942
220	549	1938
221	551	1933
222	553	1928
223	555	1924
224	557	1918
225	558	1914
226	560	1909
227	562	1905
228	564	1901
229	568	1902
230	569	1897
231	572	1893
232	573	1889
233	575	1883
234	577	1878
235	578	1873
236	580	1869
237	582	1863
238	583	1859
239	585	1854
240	587	1849
241	589	1845
242	591	1841
243	593	1837
244	594	1833
245	596	1829
246	599	1826
247	600	1822
248	602	1817
249	604	1813
250	606	1809
251	608	1806
252	610	1801
253	611	1797
254	613	1792
255	615	1789
256	617	1784
257	619	1782
258	621	1777
259	623	1773
260	625	1770
261	627	1766
262	628	1761
263	630	1758
264	632	1753
265	639	1764
266	641	1760
267	643	1757
268	645	1753
269	647	1750
270	648	1745
271	650	1740
272	652	1736
273	654	1733
274	655	1729
275	657	1724
276	658	1720
277	661	1718
278	663	1714
279	665	1710
280	666	1705
281	668	1701
282	670	1697
283	671	1693
284	672	1688
285	674	1683
286	676	1680
